Subject,TrialList,TrialList.Number,Exp.Number,Prime,PrimeType,PrefixClass,fPrimeMorpheme,PrimeAsp,fPrime,letPrime,Target,TargetAsp,fTarget,fTargetStem,letTarget,Target.RT,Target.ACC,Blank2.RT,Blank2.ACC
26,1,24,50,исцарапать,pref,pref-is,,P,1.6,10,царапать,I,4.5,,8,0,0,47,0
25,3,10,42,намазать,pref,pref-na,,P,3.8,8,мазать,I,5.9,,6,0,0,61,0
3,1,22,69,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,109,0
9,1,22,87,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,99,0
13,1,22,66,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,154,0
26,1,22,18,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,66,0
29,1,22,44,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,819,0
35,1,22,30,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,531,0
41,1,22,58,опрыскать,pref,pref-o,,P,0.1,9,прыскать,I,1.2,,8,0,0,175,0
24,2,3,85,ощипать,pref,pref-o,,P,0.4,7,щипать,I,4.0,,6,0,0,213,0
40,2,3,47,ощипать,pref,pref-o,,P,0.4,7,щипать,I,4.0,,6,0,0,482,0
17,2,9,4,облизать,pref,pref-ob,,P,3.1,8,лизать,I,4.5,,6,0,0,44,0
25,3,16,16,отшвырнуть,pref,pref-ot,,P,3.1,9,швырять,I,7.7,,7,0,0,202,0
29,1,35,26,позабыть,unrel,pref-po,,P,14.3,8,добыть,P,19.9,,6,0,0,335,0
41,1,35,84,позабыть,unrel,pref-po,,P,14.3,8,добыть,P,19.9,,6,0,0,101,0
19,2,7,19,покачать,pref,pref-po,,P,33.7,8,качать,I,17.8,,6,0,0,1405,0
29,1,20,20,поковырять,pref,pref-po,,P,0.9,10,ковырять,I,3.9,,8,0,0,335,0
12,3,11,2,помахать,pref,pref-po,,P,11.0,8,махать,I,22.2,,6,0,0,18,0
25,3,11,31,помахать,pref,pref-po,,P,11.0,8,махать,I,22.2,,6,0,0,154,0
28,3,11,8,помахать,pref,pref-po,,P,11.0,8,махать,I,22.2,,6,0,0,745,0
16,1,19,41,понырять,pref,pref-po,,P,0.1,8,нырять,I,8.7,,6,0,0,34,0
29,1,19,49,понырять,pref,pref-po,,P,0.1,8,нырять,I,8.7,,6,0,0,153,0
41,1,19,23,понырять,pref,pref-po,,P,0.1,8,нырять,I,8.7,,6,0,0,66,0
30,2,29,2,посбить,pref,pref-po,,P,0.1,7,сбить,P,29.6,,5,0,0,428,0
38,2,29,63,посбить,pref,pref-po,,P,0.1,7,сбить,P,29.6,,5,0,0,19,0
25,3,17,74,похлебать,pref,pref-po,,P,0.8,9,хлебать,I,4.4,,7,0,0,29,0
25,3,18,64,похлопать,pref,pref-po,,P,9.2,9,хлопать,I,20.2,,7,0,0,8,0
7,1,31,33,поддавать,suffix-va,pref-pod,,I,0.8,9,поддать,P,2.7,,7,0,0,368,0
37,1,31,72,поддавать,suffix-va,pref-pod,,I,0.8,9,поддать,P,2.7,,7,0,0,121,0
14,2,30,95,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,124,0
21,2,30,9,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,1326,0
27,2,30,64,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,594,0
30,2,30,51,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,604,0
40,2,30,39,подзавить,pref,pref-pod,,P,0.1,9,завить,P,0.7,,6,0,0,346,0
25,3,34,75,подустать,pref,pref-pod,,P,0.1,9,устать,P,58.6,,6,0,0,418,0
37,1,36,100,приодеть,pref,pref-pri,,P,0.7,8,одеть,P,33.9,,5,0,0,0,0
29,1,33,52,проиграть,unrel,pref-pro,,P,30.1,9,продать,P,68.3,,7,0,0,167,0
25,3,33,52,распродать,pref,pref-ras,,P,2.4,10,продать,P,68.3,,7,0,0,28,0
25,3,35,10,раздобыть,pref,pref-raz,,P,7.1,9,добыть,P,19.9,,6,0,0,1219,0
9,1,34,70,восстать,unrel,pref-vos,,P,6.6,8,устать,P,58.6,,6,0,0,498,0
29,1,34,101,восстать,unrel,pref-vos,,P,6.6,8,устать,P,58.6,,6,0,0,570,0
37,1,34,23,восстать,unrel,pref-vos,,P,6.6,8,устать,P,58.6,,6,0,0,120,0
41,1,34,19,восстать,unrel,pref-vos,,P,6.6,8,устать,P,58.6,,6,0,0,61,0
16,1,28,33,выбивать,suffix-va,pref-vy,,I,7.0,8,выбить,P,19.6,,6,0,0,22,0
33,2,5,67,забодать,pref,pref-za,,P,0.5,8,бодать,I,0.4,,6,0,0,2575,0
9,1,30,63,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,211,0
13,1,30,50,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,252,0
23,1,30,39,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,270,0
29,1,30,73,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,446,0
37,1,30,71,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,40,0
41,1,30,98,завивать,suffix-va,pref-za,,I,0.5,8,завить,P,0.7,,6,0,0,61,0
25,3,15,13,загавкать,pref,pref-za,,P,0.1,9,гавкать,I,0.8,,7,0,0,582,0
11,1,25,89,загромыхать,pref,pref-za,,P,0.4,11,громыхать,I,3.3,,9,0,0,41,0
30,2,6,88,закапать,pref,pref-za,,P,1.5,8,капать,I,8.7,,6,0,0,2536,0
3,1,32,103,замешать,unrel,pref-za,,P,5.5,8,познать,P,11.9,,7,0,0,362,0
7,1,32,34,замешать,unrel,pref-za,,P,5.5,8,познать,P,11.9,,7,0,0,106,0
37,1,32,64,замешать,unrel,pref-za,,P,5.5,8,познать,P,11.9,,7,0,0,56,0
1,1,27,66,замигать,pref,pref-za,,P,1.2,8,мигать,I,7.3,,6,0,0,0,0
